Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Eastman Kodak Co. WT 125%, KODK%, 0.01, 0.03, 0.01, 0.03, 0.02, 205.0, 32496, 2.95, 0.01, 0.0, 0.0, 0.0, 475.47, NYSE,2018-08-22,08:17:15
Eastman Kodak WT, KODK%A, 0.06, 0.06, 0.06, 0.06, 0.04, 199.5, 9831, 3.15, 0.0, 0.0, 0.0, 0.0, 487.25, NYSE,2018-08-22,08:17:15
Cerecor WT Cl A, CERCW, 0.18, 0.25, 0.18, 0.22, 0.12, 119.78, 48769, 1.25, 0.02, 0.0, 0.0, 0.0, -26.67, NASDAQ Capital,2018-08-22,08:17:15
Cemtrex WT, CETXW, 0.15, 0.15, 0.12, 0.15, 0.05, 48.31, 17250, 0.57, 0.1, 0.0, 0.0, 0.0, -42.64, NASDAQ Capital,2018-08-22,08:17:15
AgroFresh Solutions WT, AGFSW, 0.14, 0.17, 0.14, 0.16, 0.05, 45.45, 27778, 0.77, 0.05, 0.0, 0.0, 0.0, -60.98, NASDAQ Global,2018-08-22,08:17:15
Cytori Therapeutics, CYTX, 0.34, 0.6, 0.34, 0.5, 0.15, 43.68, 4292299, 8.7, 0.31, 0.0, 0.0, 0.0, -83.56, NASDAQ Capital,2018-08-22,08:17:15
Citigroup Wt 2019, C%A, 0.01, 0.01, 0.01, 0.01, 0.0, 40.0, 129501, 0.17, 0.01, 0.0, 0.0, 0.0, -86.01, NYSE,2018-08-22,08:17:15
CEL-SCI, CVM, 1.19, 1.69, 1.14, 1.62, 0.44, 37.29, 2348606, 3.66, 0.82, 0.0, 0.0, 0.0, -14.28, NYSE American,2018-08-22,08:17:15
Koss, KOSS, 3.11, 4.15, 3.1, 4.08, 1.03, 33.77, 969616, 4.15, 1.4, 0.24, 5.88, 0.0, 32.04, NASDAQ Capital,2018-08-22,08:17:15
Sears Holdings WT, SHLDW, 0.06, 0.14, 0.06, 0.14, 0.03, 27.27, 26175, 2.59, 0.05, 0.0, 0.0, 0.0, -60.0, NASDAQ Global,2018-08-22,08:17:15
Ampio Pharmaceuticals, AMPE, 0.51, 0.65, 0.49, 0.64, 0.13, 26.66, 5432209, 4.95, 0.35, 0.0, 0.0, 0.0, -84.36, NYSE American,2018-08-22,08:17:15
Greenland Acquisition WT, GLACW, 0.21, 0.21, 0.21, 0.21, 0.04, 23.46, 200, 0.23, 0.15, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-22,08:17:15
Aurora Mobile ADR, JG, 6.6, 7.99, 6.3, 7.54, 1.43, 23.4, 478064, 9.8, 5.0, 0.0, 0.0, 0.0, 0.0, NASDAQ Global,2018-08-22,08:17:15
Regional Health Properties, RHE, 0.13, 0.18, 0.13, 0.15, 0.03, 21.62, 604998, 1.1, 0.1, 0.0, 0.0, 0.0, -10.0, NYSE American,2018-08-22,08:17:15
Revlon Cl A, REV, 17.65, 21.8, 17.65, 21.15, 3.65, 20.86, 550974, 27.9, 14.0, 0.0, 0.0, 0.0, -2.98, NYSE,2018-08-22,08:17:15
AGM Group Holdings, AGMH, 16.12, 19.53, 15.33, 18.81, 3.2, 20.5, 110532, 37.63, 5.01, 0.0, 0.0, 0.0, 0.0, NASDAQ Capital,2018-08-22,08:17:15
